BathroomTotal,Bedrooms,BuildingType,Latitude,Longitude,OwnershipType,Price,PropertyType,SizeInterior,StoriesTotal
1,0 + 1,Apartment,51.03954,-114.096486,Condominium/Strata,"$114,900",Single Family,492 sqft,1
1,0 + 0,Apartment,51.039445,-113.92598,Condominium/Strata,"$115,000",Single Family,257 sqft,1
1,1 + 0,Apartment,51.038747,-114.095835,Condominium/Strata,"$118,000",Single Family,425 sqft,1
1,0 + 2,Duplex,51.070708,-113.956718,Condominium/Strata,"$118,000",Single Family,466 sqft,1.5000
2,3 + 0,Mobile Home,51.079237,-113.924397,Leasehold,"$119,000",Single Family,1467 sqft,1
1,2 + 0,Row / Townhouse,51.042465,-113.404821,Condominium/Strata,"$119,000",Single Family,927 sqft,1
1,1 + 0,Apartment,51.058764,-114.094286,Condominium/Strata,"$119,900",Single Family,653 sqft,1
1,1 + 0,Apartment,51.058576,-114.093902,Condominium/Strata,"$119,900",Single Family,572 sqft,1
1,1 + 0,Apartment,51.038967,-113.947679,Condominium/Strata,"$119,900",Single Family,535 sqft,1
1,1 + 0,Apartment,51.041732,-114.141497,Condominium/Strata,"$119,999",Single Family,494 sqft,1
1,1 + 0,Apartment,51.045364,-113.393075,Condominium/Strata,"$120,000",Single Family,731 sqft,1
1,1 + 0,Apartment,51.038689,-113.947463,Condominium/Strata,"$122,900",Single Family,535 sqft,1
2,3 + 0,Mobile Home,51.063124,-113.914282,Leasehold,"$124,900",Single Family,1210 sqft,1
2,2 + 0,Apartment,51.038903,-113.927595,Condominium/Strata,"$124,900",Single Family,899 sqft,1
1,1 + 0,Apartment,51.041485,-114.089213,Condominium/Strata,"$125,000",Single Family,615 sqft,1
1,1 + 0,Apartment,51.043639,-114.099592,Condominium/Strata,"$125,000",Single Family,613 sqft,1
1,1 + 0,Apartment,51.04365,-114.099582,Condominium/Strata,"$125,000",Single Family,557 sqft,1
1,2 + 0,Apartment,51.045117,-113.393029,Condominium/Strata,"$125,000",Single Family,885 sqft,1
1,1 + 0,Apartment,50.952289,-114.082992,Condominium/Strata,"$125,000",Single Family,531 sqft,1
1,0 + 2,Duplex,51.073552,-113.963741,Condominium/Strata,"$125,000",Single Family,468 sqft,1.5000
1,0 + 0,Apartment,51.035319,-114.101971,Condominium/Strata,"$126,000",Single Family,396 sqft,1
1,1 + 0,Apartment,51.03847,-113.955986,Condominium/Strata,"$127,500",Single Family,527 sqft,1
1,0 + 0,Apartment,51.050274,-114.061737,Condominium/Strata,"$128,500",Single Family,360 sqft,1
1,0 + 0,Apartment,51.050314,-114.061715,Condominium/Strata,"$128,500",Single Family,365 sqft,1
1,1 + 0,Apartment,51.03145,-114.06439,Condominium/Strata,"$128,888",Single Family,426 sqft,1
1,1 + 0,Apartment,50.970326,-114.060453,Condominium/Strata,"$129,900",Single Family,535 sqft,1
1,1 + 0,Apartment,51.038031,-113.962959,Condominium/Strata,"$129,900",Single Family,710 sqft,1
1,0 + 0,Apartment,51.092251,-113.960393,Condominium/Strata,"$129,900",Single Family,290 sqft,1
1,1 + 0,Apartment,51.091364,-114.198106,Condominium/Strata,"$129,900",Single Family,474 sqft,1
1,1 + 0,Apartment,50.960547,-114.108959,Condominium/Strata,"$129,900",Single Family,616 sqft,1
1,1 + 0,Apartment,50.960486,-114.108906,Condominium/Strata,"$129,900",Single Family,637 sqft,1
1,1 + 0,Apartment,51.038521,-113.947855,Condominium/Strata,"$129,900",Single Family,532 sqft,1
1,2 + 0,Row / Townhouse,51.044148,-113.957575,Condominium/Strata,"$129,900",Single Family,923 sqft,1
1,2 + 0,Apartment,50.952618,-114.087164,Condominium/Strata,"$131,900",Single Family,819 sqft,1
2,3 + 0,Mobile Home,51.064537,-113.912238,Leasehold,"$132,500",Single Family,1201 sqft,1
2,2 + 0,Apartment,51.191504,-114.463736,Condominium/Strata,"$132,900",Single Family,1073 sqft,1
1,1 + 0,Apartment,51.038577,-113.930572,Condominium/Strata,"$133,000",Single Family,521 sqft,1
1,1 + 0,Apartment,50.978418,-114.06334,Condominium/Strata,"$133,400",Single Family,679 sqft,1
2,3 + 0,Mobile Home,51.127801,-114.215849,Leasehold,"$134,500",Single Family,1178 sqft,1
1,1 + 0,Apartment,51.037984,-114.128572,Condominium/Strata,"$134,900",Single Family,482 sqft,1
1,2 + 0,Apartment,51.058527,-114.094417,Condominium/Strata,"$135,000",Single Family,858 sqft,1
2,2 + 0,Row / Townhouse,51.013477,-114.16148,Condominium/Strata,"$137,200",Single Family,1081 sqft,2
1,1 + 0,Apartment,51.024578,-114.186857,Condominium/Strata,"$137,700",Single Family,738 sqft,1
1,1 + 0,Apartment,51.017567,-113.977775,Condominium/Strata,"$139,000",Single Family,502 sqft,1
1,2 + 0,Apartment,50.894278,-114.068821,Condominium/Strata,"$139,000",Single Family,744 sqft,1
1,2 + 0,Apartment,51.045205,-113.393008,Condominium/Strata,"$139,000",Single Family,875 sqft,1
2,3 + 0,Mobile Home,51.079159,-113.924453,Leasehold,"$139,000",Single Family,1088 sqft,1
1,0 + 3,Apartment,51.059439,-114.051912,Condominium/Strata,"$139,000",Single Family,984 sqft,1
1,1 + 0,Apartment,51.102387,-114.149734,Condominium/Strata,"$139,500",Single Family,525 sqft,1
1,1 + 0,Apartment,51.017325,-113.977834,Condominium/Strata,"$139,500",Single Family,500 sqft,1
1,2 + 0,Apartment,50.936508,-114.076017,Condominium/Strata,"$139,800",Single Family,827 sqft,1
1,1 + 0,Apartment,51.002454,-114.077749,Condominium/Strata,"$139,900",Single Family,506 sqft,1
1,1 + 0,Apartment,50.920653,-113.919461,Condominium/Strata,"$139,900",Single Family,478 sqft,1
2,2 + 0,Apartment,51.017494,-113.998212,Condominium/Strata,"$139,900",Single Family,800 sqft,1
2,3 + 0,Mobile Home,51.079176,-113.925679,Leasehold,"$139,900",Single Family,1220 sqft,1
1,1 + 0,Apartment,51.041223,-113.406605,Condominium/Strata,"$139,900",Single Family,650 sqft,1
1,2 + 0,Row / Townhouse,51.044045,-113.956042,Condominium/Strata,"$139,900",Single Family,925 sqft,2
1,2 + 0,Apartment,51.066136,-114.056723,Condominium/Strata,"$139,987",Single Family,802 sqft,1
2,2 + 0,Apartment,51.096813,-114.057332,Condominium/Strata,"$145,000",Single Family,1273 sqft,1
2,3 + 0,Row / Townhouse,51.028852,-113.9834,Freehold,"$145,000",Single Family,1010 sqft,2
1,2 + 0,Apartment,50.894133,-114.069212,Condominium/Strata,"$145,000",Single Family,748 sqft,1
1,1 + 0,Apartment,51.034426,-114.101138,Condominium/Strata,"$148,900",Single Family,421 sqft,1
1,2 + 0,Row / Townhouse,51.042171,-113.405926,Condominium/Strata,"$149,000",Single Family,925 sqft,2
1,1 + 0,Apartment,51.045089,-113.393222,Condominium/Strata,"$149,000",Single Family,772 sqft,1
1,2 + 0,Apartment,51.015464,-114.161368,Condominium/Strata,"$149,500",Single Family,1070 sqft,1
1,2 + 0,Row / Townhouse,51.044484,-113.957888,Condominium/Strata,"$149,673",Single Family,885 sqft,1
1,2 + 0,Row / Townhouse,51.053813,-113.389115,Condominium/Strata,"$149,888",Single Family,843 sqft,1
1,2 + 0,Apartment,51.041373,-114.090331,Condominium/Strata,"$149,900",Single Family,853 sqft,1
1,0 + 0,Apartment,51.047216,-114.059323,Condominium/Strata,"$149,900",Single Family,512 sqft,1
1,1 + 0,Apartment,51.036081,-114.101658,Condominium/Strata,"$149,900",Single Family,413 sqft,1
2,3 + 0,Mobile Home,51.043432,-113.387291,Leasehold,"$149,900",Single Family,1152 sqft,1
1,2 + 0,Row / Townhouse,50.970653,-114.119601,Condominium/Strata,"$149,900",Single Family,947 sqft,2
1,2 + 0,Apartment,50.973722,-114.081996,Condominium/Strata,"$149,900",Single Family,884 sqft,1
1,1 + 0,Apartment,50.978656,-114.064722,Condominium/Strata,"$149,900",Single Family,752 sqft,1
1,1 + 0,Apartment,50.967179,-114.074802,Condominium/Strata,"$149,900",Single Family,777 sqft,1
1,1 + 0,Apartment,51.017402,-113.977753,Condominium/Strata,"$149,900",Single Family,573 sqft,1
1,1 + 0,Apartment,51.032248,-114.101566,Condominium/Strata,"$149,900",Single Family,462 sqft,1
1,2 + 0,Apartment,51.042366,-114.092836,Condominium/Strata,"$149,900",Single Family,723 sqft,1
1,2 + 0,Mobile Home,51.057083,-113.393108,Freehold,"$149,900",Single Family,891 sqft,1
2,3 + 0,Row / Townhouse,51.046752,-113.968967,Condominium/Strata,"$149,900",Single Family,1023 sqft,2
1,1 + 0,Apartment,51.039296,-114.086265,Condominium/Strata,"$149,900",Single Family,515 sqft,1
1,1 + 0,Apartment,51.036726,-114.101244,Condominium/Strata,"$149,900",Single Family,538 sqft,1
1,2 + 0,Row / Townhouse,51.04436,-113.955918,Condominium/Strata,"$149,999",Single Family,980 sqft,2
2,2 + 0,Row / Townhouse,51.013558,-114.161822,Condominium/Strata,"$150,000",Single Family,1100 sqft,2
1,1 + 0,Apartment,51.051331,-114.062324,Condominium/Strata,"$150,000",Single Family,572 sqft,1
2,3 + 0,Mobile Home,51.043902,-113.386531,Leasehold,"$150,000",Single Family,1216 sqft,1
1,1 + 0,Apartment,51.053644,-114.057206,Condominium/Strata,"$150,000",Single Family,563 sqft,1
1,1 + 0,Apartment,51.043311,-114.103375,Condominium/Strata,"$152,900",Single Family,467 sqft,1
2,3 + 0,Apartment,51.048904,-114.132395,Condominium/Strata,"$154,000",Single Family,1031 sqft,1
1,2 + 0,Row / Townhouse,51.05206,-113.97839,Condominium/Strata,"$154,500",Single Family,951 sqft,1
1,2 + 0,Row / Townhouse,51.05104,-113.979925,Condominium/Strata,"$154,900",Single Family,920 sqft,1
1,2 + 0,Row / Townhouse,51.107016,-114.064197,Condominium/Strata,"$154,900",Single Family,778 sqft,2
1,3 + 0,Row / Townhouse,51.019897,-114.154959,Condominium/Strata,"$154,900",Single Family,866 sqft,2
2,2 + 0,Apartment,51.002239,-114.079987,Condominium/Strata,"$154,900",Single Family,1142 sqft,1
1,1 + 0,Apartment,50.921351,-113.919912,Condominium/Strata,"$154,900",Single Family,471 sqft,1
1,1 + 0,Apartment,51.125604,-113.930457,Condominium/Strata,"$154,900",Single Family,569 sqft,1
1,1 + 0,Apartment,51.162125,-114.158316,Condominium/Strata,"$154,900",Single Family,610 sqft,1
1,1 + 0,Apartment,51.167775,-114.090191,Condominium/Strata,"$154,999",Single Family,579 sqft,1
1,1 + 0,Apartment,51.155176,-114.053123,Condominium/Strata,"$155,000",Single Family,558 sqft,1
1,3 + 0,Row / Townhouse,51.071407,-114.014332,Condominium/Strata,"$155,000",Single Family,1034 sqft,2
1,2 + 0,Row / Townhouse,51.044338,-113.954981,Condominium/Strata,"$155,000",Single Family,925 sqft,2
1,1 + 0,Apartment,50.901243,-114.068454,Condominium/Strata,"$155,000",Single Family,549 sqft,1
2,3 + 0,Row / Townhouse,51.029021,-113.965957,Condominium/Strata,"$155,000",Single Family,1005 sqft,2
1,2 + 0,Apartment,51.016917,-113.997532,Condominium/Strata,"$155,000",Single Family,869 sqft,1
2,3 + 0,Mobile Home,51.043109,-113.387837,Leasehold,"$155,000",Single Family,1216 sqft,1
1,2 + 0,Apartment,51.038836,-113.947626,Condominium/Strata,"$156,000",Single Family,807 sqft,1
1,1 + 0,Apartment,51.059018,-114.177019,Condominium/Strata,"$156,900",Single Family,701 sqft,1
2,3 + 0,Apartment,50.960165,-114.109123,Condominium/Strata,"$157,500",Single Family,1047 sqft,1
1,1 + 0,Apartment,51.043317,-114.103231,Condominium/Strata,"$157,900",Single Family,485 sqft,1
1,2 + 0,Apartment,51.002714,-114.078558,Condominium/Strata,"$159,000",Single Family,893 sqft,1
1,3 + 0,Row / Townhouse,51.07155,-114.015867,Condominium/Strata,"$159,000",Single Family,1020 sqft,2
2,2 + 0,Apartment,51.123705,-113.931514,Condominium/Strata,"$159,000",Single Family,870 sqft,1
1,2 + 0,Apartment,51.118375,-113.924001,Condominium/Strata,"$159,900",Single Family,570 sqft,1
1,1 + 0,Apartment,51.059511,-114.050025,Condominium/Strata,"$159,900",Single Family,479 sqft,1
1,2 + 0,Apartment,51.003181,-114.079988,Condominium/Strata,"$159,900",Single Family,813 sqft,1
1,0 + 2,Apartment,50.950007,-114.082751,Condominium/Strata,"$159,900",Single Family,765 sqft,1
1,1 + 0,Apartment,51.051347,-114.061369,Condominium/Strata,"$159,900",Single Family,574 sqft,1
1,3 + 0,Row / Townhouse,51.053761,-113.39009,Condominium/Strata,"$159,900",Single Family,1022 sqft,1
1,0 + 2,Row / Townhouse,51.090971,-114.19849,Condominium/Strata,"$159,900",Single Family,469 sqft,1.5000
1,2 + 0,Row / Townhouse,51.051695,-113.977372,Condominium/Strata,"$159,900",Single Family,1107 sqft,2
1,2 + 0,Apartment,51.041813,-114.141497,Condominium/Strata,"$159,900",Single Family,720 sqft,1
1,2 + 0,Row / Townhouse,51.053753,-113.390399,Condominium/Strata,"$159,900",Single Family,842 sqft,1
1,1 + 0,Apartment,51.085852,-114.160325,Condominium/Strata,"$159,900",Single Family,792 sqft,1
1,1 + 0,Apartment,51.092639,-113.959054,Condominium/Strata,"$159,900",Single Family,752 sqft,1
1,1 + 0,Apartment,51.04272,-114.141317,Condominium/Strata,"$160,000",Single Family,593 sqft,1
1,1 + 0,Row / Townhouse,51.167781,-113.963029,Condominium/Strata,"$160,500",Single Family,547 sqft,1
1,1 + 0,Apartment,50.907706,-114.115083,Condominium/Strata,"$160,900",Single Family,565 sqft,1
1,3 + 0,Row / Townhouse,51.054029,-113.39062,Condominium/Strata,"$162,000",Single Family,1019 sqft,1
1,2 + 0,Row / Townhouse,51.051492,-113.978049,Condominium/Strata,"$162,500",Single Family,1082 sqft,2
1,2 + 0,Apartment,50.894564,-114.068972,Condominium/Strata,"$162,500",Single Family,751 sqft,1
1,1 + 0,Apartment,51.043322,-114.103533,Condominium/Strata,"$162,900",Single Family,474 sqft,1
2,2 + 2,Row / Townhouse,51.093566,-113.952822,Condominium/Strata,"$163,500",Single Family,811 sqft,1
1,1 + 0,Apartment,51.184889,-114.068319,Condominium/Strata,"$163,900",Single Family,544 sqft,1
1,0 + 2,Row / Townhouse,51.091156,-114.19847,Condominium/Strata,"$164,800",Single Family,444 sqft,1.5000
1,2 + 0,Row / Townhouse,50.942798,-114.11089,Condominium/Strata,"$164,800",Single Family,860 sqft,1
1,2 + 0,Apartment,51.063523,-114.182561,Condominium/Strata,"$164,888",Single Family,840 sqft,1
2,3 + 0,Row / Townhouse,51.063834,-113.954868,Condominium/Strata,"$164,900",Single Family,1029 sqft,2
1,1 + 0,Apartment,50.921191,-113.918672,Condominium/Strata,"$164,900",Single Family,589 sqft,1
1,1 + 0,Apartment,50.900353,-114.119733,Condominium/Strata,"$164,900",Single Family,689 sqft,1
1,2 + 0,Apartment,51.063159,-114.18394,Condominium/Strata,"$164,900",Single Family,842 sqft,1
2,2 + 0,Apartment,51.038644,-113.945252,Condominium/Strata,"$164,900",Single Family,838 sqft,1
1,1 + 0,Apartment,51.036573,-114.070508,Condominium/Strata,"$164,900",Single Family,507 sqft,1
1,2 + 0,Row / Townhouse,51.116703,-114.079328,Condominium/Strata,"$164,900",Single Family,872 sqft,2
2,3 + 0,Mobile Home,51.129973,-114.217908,Leasehold,"$165,000",Single Family,1216 sqft,1
1,2 + 0,Apartment,50.918362,-113.971017,Condominium/Strata,"$165,000",Single Family,728 sqft,1
1,1 + 0,Apartment,50.925273,-113.932724,Condominium/Strata,"$165,000",Single Family,578 sqft,1
1,2 + 0,Row / Townhouse,50.942166,-114.110735,Condominium/Strata,"$165,000",Single Family,1002 sqft,2
2,2 + 0,Apartment,50.979152,-114.065323,Condominium/Strata,"$165,000",Single Family,1001 sqft,1
1,3 + 0,Row / Townhouse,51.019669,-114.155161,Condominium/Strata,"$165,000",Single Family,869 sqft,2
1,1 + 0,Apartment,51.04067,-114.070685,Condominium/Strata,"$165,000",Single Family,498 sqft,1
1,3 + 0,Row / Townhouse,51.099972,-114.054261,Condominium/Strata,"$165,000",Single Family,1050 sqft,2
1,2 + 0,Apartment,51.129631,-113.954035,Condominium/Strata,"$165,500",Single Family,608 sqft,1
1,1 + 0,Apartment,51.184945,-114.068178,Condominium/Strata,"$166,900",Single Family,544 sqft,1
1,1 + 0,Apartment,51.164557,-113.941386,Condominium/Strata,"$167,000",Single Family,334 sqft,1
2,3 + 0,Mobile Home,51.078803,-113.923876,Leasehold,"$167,500",Single Family,1440 sqft,1
1,2 + 0,Apartment,51.059428,-114.0531,Condominium/Strata,"$168,500",Single Family,738 sqft,1
2,1 + 0,Apartment,50.971733,-114.117115,Condominium/Strata,"$168,500",Single Family,999 sqft,1
1,1 + 0,Apartment,50.89503,-114.069195,Condominium/Strata,"$168,500",Single Family,655 sqft,1
2,2 + 1,Row / Townhouse,51.059872,-113.377703,Condominium/Strata,"$169,000",Single Family,791 sqft,1
1,2 + 0,Apartment,51.102364,-114.154926,Condominium/Strata,"$169,000",Single Family,792 sqft,1
1,1 + 0,Apartment,50.862636,-114.022136,Condominium/Strata,"$169,800",Single Family,510 sqft,1
1,2 + 0,Apartment,50.917856,-113.971162,Condominium/Strata,"$169,900",Single Family,737 sqft,1
1,1 + 0,Apartment,51.0293,-114.102367,Condominium/Strata,"$169,900",Single Family,535 sqft,1
1,1 + 0,Apartment,50.921115,-113.919373,Condominium/Strata,"$169,900",Single Family,481 sqft,1
1,1 + 0,Apartment,51.036773,-114.083206,Condominium/Strata,"$169,900",Single Family,590 sqft,1
1,2 + 0,Apartment,51.10202,-114.155344,Condominium/Strata,"$169,900",Single Family,680 sqft,1
2,3 + 0,Row / Townhouse,51.061106,-113.380346,Condominium/Strata,"$169,900",Single Family,1010 sqft,2
2,2 + 0,Apartment,51.066279,-113.954458,Condominium/Strata,"$169,900",Single Family,895 sqft,1
1,1 + 0,Apartment,50.974263,-114.074039,Condominium/Strata,"$169,900",Single Family,497 sqft,1
1,1 + 0,Apartment,51.058797,-114.084465,Condominium/Strata,"$169,900",Single Family,451 sqft,1
1,1 + 0,Apartment,51.070629,-114.061833,Condominium/Strata,"$169,900",Single Family,607 sqft,1
1,2 + 0,Apartment,51.038549,-113.945287,Condominium/Strata,"$169,900",Single Family,837 sqft,1
1,2 + 0,Apartment,51.039264,-114.153601,Condominium/Strata,"$169,900",Single Family,845 sqft,1
1,0 + 2,Row / Townhouse,51.041115,-113.394135,Condominium/Strata,"$169,900",Single Family,913 sqft,1
2,2 + 0,Mobile Home,51.038783,-113.9391,Leasehold,"$169,900",Single Family,982 sqft,1
1,3 + 0,Row / Townhouse,51.0643,-113.953806,Condominium/Strata,"$169,900",Single Family,1028 sqft,2
1,1 + 0,Apartment,51.041188,-114.093428,Condominium/Strata,"$169,900",Single Family,486 sqft,1
2,2 + 0,Row / Townhouse,51.076365,-113.966551,Condominium/Strata,"$169,900",Single Family,940 sqft,2
1,1 + 0,Apartment,51.184932,-114.068113,Condominium/Strata,"$169,900",Single Family,514 sqft,1
1,2 + 0,Apartment,51.191195,-114.477692,Condominium/Strata,"$169,900",Single Family,861 sqft,1
1,1 + 0,Apartment,51.157367,-114.070811,Condominium/Strata,"$169,900",Single Family,588 sqft,1
1,2 + 0,Apartment,51.065829,-114.014896,Condominium/Strata,"$169,999",Single Family,764 sqft,1
1,0 + 2,Row / Townhouse,51.125068,-114.195254,Condominium/Strata,"$170,000",Single Family,446 sqft,1.5000
2,2 + 0,Apartment,51.038433,-113.945724,Condominium/Strata,"$170,000",Single Family,846 sqft,1
1,1 + 0,Apartment,51.051924,-114.099231,Condominium/Strata,"$170,000",Single Family,499 sqft,1
2,3 + 0,Row / Townhouse,51.073902,-114.013743,Condominium/Strata,"$170,000",Single Family,1174 sqft,2
1,2 + 0,Apartment,50.949358,-114.082524,Condominium/Strata,"$170,000",Single Family,773 sqft,1
1,2 + 0,Apartment,50.905943,-114.116449,Condominium/Strata,"$170,000",Single Family,702 sqft,1
1,1 + 0,Apartment,51.150923,-114.21565,Condominium/Strata,"$171,999",Single Family,605 sqft,1
2,2 + 0,Row / Townhouse,51.073316,-114.013861,Condominium/Strata,"$172,000",Single Family,895 sqft,2
1,2 + 0,Apartment,51.083409,-114.159194,Condominium/Strata,"$172,440",Single Family,940 sqft,1
2,3 + 0,Row / Townhouse,51.107203,-113.948082,Condominium/Strata,"$172,500",Single Family,1049 sqft,2
1,2 + 0,Apartment,51.164974,-113.956782,Condominium/Strata,"$172,900",Single Family,521 sqft,1
1,2 + 0,Apartment,51.039041,-114.153783,Condominium/Strata,"$172,900",Single Family,844 sqft,1
1,1 + 0,Apartment,50.862186,-114.023184,Condominium/Strata,"$172,900",Single Family,572 sqft,1
1,2 + 0,Apartment,51.063466,-114.182618,Condominium/Strata,"$173,900",Single Family,840 sqft,1
1,0 + 3,Row / Townhouse,51.088173,-114.203332,Condominium/Strata,"$174,500",Single Family,884 sqft,1
1,2 + 0,Apartment,50.991933,-114.084277,Condominium/Strata,"$174,500",Single Family,1004 sqft,2
1,1 + 0,Apartment,50.876634,-113.951028,Condominium/Strata,"$174,900",Single Family,494 sqft,1
1,1 + 0,Apartment,50.928332,-113.964315,Condominium/Strata,"$174,900",Single Family,581 sqft,1
1,1 + 0,Apartment,50.916065,-114.066684,Condominium/Strata,"$174,900",Single Family,592 sqft,1
1,2 + 0,Apartment,51.002338,-114.074451,Condominium/Strata,"$174,900",Single Family,820 sqft,1
1,2 + 0,Apartment,51.05206,-114.049218,Condominium/Strata,"$174,900",Single Family,835 sqft,1
1,1 + 2,Row / Townhouse,51.04326,-113.956833,Freehold,"$174,900",Single Family,479 sqft,1.5000
2,2 + 0,Apartment,51.038595,-113.944125,Condominium/Strata,"$174,900",Single Family,846 sqft,1
2,2 + 0,Apartment,51.074946,-113.938838,Condominium/Strata,"$174,900",Single Family,845 sqft,1
2,1 + 2,Row / Townhouse,51.043021,-113.957585,Freehold,"$174,900",Single Family,432 sqft,1.5000
2,2 + 0,Apartment,51.126347,-114.136731,Condominium/Strata,"$174,900",Single Family,891 sqft,1
1,1 + 0,Apartment,51.115882,-114.181008,Condominium/Strata,"$174,900",Single Family,577 sqft,1
1,2 + 0,Apartment,51.188341,-114.473264,Condominium/Strata,"$174,999",Single Family,858 sqft,2
2,3 + 0,Mobile Home,51.125475,-114.212173,Leasehold,"$175,000",Single Family,1536 sqft,1
1,2 + 0,Apartment,51.083664,-114.160022,Condominium/Strata,"$175,000",Single Family,822 sqft,2
2,3 + 0,Row / Townhouse,51.0532,-113.952367,Condominium/Strata,"$175,000",Single Family,1012 sqft,2
1,2 + 0,Apartment,51.001522,-114.074012,Condominium/Strata,"$175,000",Single Family,831 sqft,1
1,0 + 2,Row / Townhouse,50.954796,-114.061506,Condominium/Strata,"$175,000",Single Family,428 sqft,1.5000
2,2 + 0,Apartment,51.003216,-114.075617,Condominium/Strata,"$175,000",Single Family,977 sqft,1
1,1 + 0,Apartment,51.017619,-113.977747,Condominium/Strata,"$175,000",Single Family,558 sqft,1
1,1 + 0,Apartment,51.003076,-114.129429,Condominium/Strata,"$175,000",Single Family,504 sqft,1
1,1 + 0,Apartment,51.007524,-114.130566,Condominium/Strata,"$175,000",Single Family,570 sqft,1
1,1 + 0,Apartment,51.015931,-114.160984,Condominium/Strata,"$175,000",Single Family,1026 sqft,2
1,1 + 0,Apartment,51.043439,-114.096615,Condominium/Strata,"$175,000",Single Family,792 sqft,1
1,1 + 0,Apartment,51.037335,-114.091662,Condominium/Strata,"$175,000",Single Family,487 sqft,1
1,2 + 0,Apartment,50.949288,-114.083064,Condominium/Strata,"$176,000",Single Family,752 sqft,1
1,2 + 0,Apartment,51.102324,-114.154656,Condominium/Strata,"$176,900",Single Family,802 sqft,1
2,2 + 0,Apartment,51.065634,-113.95523,Condominium/Strata,"$177,900",Single Family,904 sqft,1
1,1 + 0,Apartment,51.039433,-114.090484,Condominium/Strata,"$178,500",Single Family,645 sqft,1
1,1 + 0,Apartment,51.041785,-114.101341,Condominium/Strata,"$178,700",Single Family,685 sqft,1
1,2 + 0,Duplex,51.028011,-113.977447,Freehold,"$178,888",Single Family,777 sqft,2
