BathroomTotal,Bedrooms,BuildingType,Latitude,Longitude,OwnershipType,Price,PropertyType,SizeInterior,StoriesTotal
1,1,Apartment,43.7876713,-79.4170992,Undivided Co-ownership,"$379,000",Single Family,,
2,3,House,43.8913597,-78.846957,Freehold,"$379,000",Single Family,,2
2,3,Apartment,43.8259487,-79.0908687,Condominium/Strata,"$379,777",Single Family,,
2,3,Row / Townhouse,43.8393804,-79.088197,Condominium/Strata,"$379,900",Single Family,,
2,2,House,43.899248,-78.6141614,Freehold,"$379,900",Single Family,,1
2,2 + 1,Apartment,43.8046149,-79.2166262,Condominium/Strata,"$379,900",Single Family,,
1,1 + 1,Apartment,43.7375763,-79.2382502,Condominium/Strata,"$379,900",Single Family,,
1,2,Apartment,43.7216253,-79.7168144,Condominium/Strata,"$379,900",Single Family,,
1,2,Apartment,43.7213088,-79.7151413,Condominium/Strata,"$379,900",Single Family,,
1,2,Row / Townhouse,43.6583126,-79.9108279,Condominium/Strata,"$379,900",Single Family,,
1,2,Row / Townhouse,43.658435,-79.910967,Condominium,"$379,900",Single Family,790 sqft,
1,0,Row / Townhouse,43.6630079,-79.3767767,Condominium/Strata,"$379,900",Single Family,,
1,2,Row / Townhouse,43.602466,-79.5936534,Condominium/Strata,"$379,900",Single Family,,2
2,3,Apartment,43.7477413,-79.5799221,Condominium/Strata,"$380,000",Single Family,,
1,3,Row / Townhouse,43.822409,-79.102095,Condominium/Strata,"$380,000",Single Family,,2
1,1 + 1,Apartment,43.6302208,-79.4761374,Condominium/Strata,"$384,000",Single Family,,
1,2,Apartment,43.7645868,-79.4919359,Condominium/Strata,"$384,900",Single Family,,
2,2,Apartment,43.7531774,-79.4908207,Condominium/Strata,"$385,000",Single Family,,
1,1,Apartment,43.8495495,-79.3762537,Condominium/Strata,"$385,000",Single Family,,
2,2,Apartment,43.672888,-79.745485,Condominium/Strata,"$385,000",Single Family,,
1,2,Apartment,43.7208894,-79.7167834,Condominium/Strata,"$385,000",Single Family,,
1,3,Apartment,43.6957686,-79.5572308,Condominium/Strata,"$385,000",Single Family,,
2,3,Apartment,43.7260326,-79.2642756,Condominium/Strata,"$385,999",Single Family,,2
1,1,Apartment,43.8270884,-79.0915804,Condominium/Strata,"$387,000",Single Family,,
2,1 + 1,Apartment,43.7583999,-79.5864692,Condominium/Strata,"$387,900",Single Family,,
1,2,Apartment,43.7944626,-79.3127827,Condominium/Strata,"$388,000",Single Family,,
1,1,Apartment,43.7942424,-79.5244342,Condominium/Strata,"$389,000",Single Family,,
1,1 + 1,Apartment,43.6762572,-79.8244862,Condominium/Strata,"$389,000",Single Family,,
1,2,Apartment,43.6964446,-79.2941767,Condominium/Strata,"$389,900",Single Family,,
1,2,Apartment,43.6961831,-79.2929566,Condominium/Strata,"$389,900",Single Family,,
1,2,Apartment,43.7086458,-79.7362423,Condominium/Strata,"$389,900",Single Family,,
1,1,Apartment,43.7942424,-79.5244342,Condominium/Strata,"$389,900",Single Family,,
2,2,Apartment,43.7525114,-79.2041817,Condominium/Strata,"$389,900",Single Family,,
1,1,Apartment,43.8419352,-79.4251578,Condominium/Strata,"$389,900",Single Family,,
1,1 + 1,Apartment,43.8561955,-79.3045815,Condominium/Strata,"$389,900",Single Family,,
1,2 + 1,House,43.8928194607936,-78.8761784037713,Freehold,"$389,900",Single Family,,1
1,0,Apartment,43.7106623,-79.3934822,Condominium/Strata,"$389,990",Single Family,,
2,3,Apartment,43.7211735,-79.5442443,Condominium/Strata,"$389,999",Single Family,,
2,3,House,43.8852192741903,-78.8555412249373,Freehold,"$393,000",Single Family,,2
1,1,Apartment,43.8816249,-79.4414241,Condominium/Strata,"$394,900",Single Family,,
1,2,Apartment,43.7694947,-79.2833883,Condominium/Strata,"$394,900",Single Family,,
2,2 + 1,Apartment,43.7976705,-79.3198853,Condominium/Strata,"$395,000",Single Family,,
1,1,Apartment,43.7913153,-79.3572481,Condominium/Strata,"$395,000",Single Family,,
2,2,Apartment,43.672888,-79.745485,Condominium/Strata,"$395,000",Single Family,,
2,2,Apartment,43.7103865,-79.7240797,Condominium/Strata,"$396,900",Single Family,,
1,1,Apartment,43.8275826,-79.0913806,Condominium/Strata,"$397,900",Single Family,,
1,1,Apartment,43.850094,-79.3234946,Condominium/Strata,"$398,000",Single Family,,
1,1,Apartment,43.7261587,-79.479265,Condominium/Strata,"$398,000",Single Family,,
2,3,Apartment,43.7230155,-79.5436818,Condominium/Strata,"$398,000",Single Family,,
1,1 + 1,Apartment,43.7991364,-79.1485917,Condominium/Strata,"$398,800",Single Family,,
2,2,Apartment,43.858179,-79.042938,Condominium/Strata,"$399,000",Single Family,,
1,2,Row / Townhouse,43.8596665,-79.0347879,Condominium/Strata,"$399,000",Single Family,,
2,2,Apartment,43.8627888,-79.3135654,Leasehold Condo/Strata,"$399,000",Single Family,,
2,4,Row / Townhouse,43.7122284,-79.7201003,Condominium/Strata,"$399,000",Single Family,,3
3,3,Row / Townhouse,43.7155316,-79.7032908,Condominium/Strata,"$399,000",Single Family,,
1,2,Apartment,43.6489576,-79.9242548,Condominium/Strata,"$399,500",Single Family,,
2,2,Apartment,43.8053274,-79.2202291,Condominium/Strata,"$399,800",Single Family,,
1,1,Apartment,43.780039,-79.3443245,Condominium/Strata,"$399,900",Single Family,,
2,2,Apartment,43.7590096,-79.5885685,Condominium/Strata,"$399,900",Single Family,,
2,2,Row / Townhouse,43.763533,-79.498145,Condominium,"$399,900",Single Family,720 sqft,
2,2,Row / Townhouse,43.7638433,-79.4981137,Condominium/Strata,"$399,900",Single Family,,
2,3,Apartment,43.7452325,-79.2121317,Condominium/Strata,"$399,900",Single Family,,
2,3,Row / Townhouse,43.7432664,-79.2113521,Condominium/Strata,"$399,900",Single Family,,2
2,2 + 1,Apartment,43.8229012,-79.2750706,Condominium/Strata,"$399,900",Single Family,,
1,2,House,43.8812031,-78.9477686,Freehold,"$399,900",Single Family,,1
2,3,House,43.8786825,-78.8492129,Freehold,"$399,900",Single Family,,2
2,1,Apartment,43.6506768,-79.8809033,Condominium/Strata,"$399,900",Single Family,,
2,2,Apartment,43.5980918,-79.6263544,Condominium/Strata,"$399,900",Single Family,,
1,3,Apartment,43.5923501,-79.6054685,Condominium/Strata,"$399,900",Single Family,,
2,3,Row / Townhouse,43.5118055,-79.6369205,Condominium/Strata,"$399,900",Single Family,,2
1,2,Apartment,43.7183946,-79.3032895,Condominium/Strata,"$399,900",Single Family,,
1,2,Apartment,43.7115951,-79.3293485,Condominium/Strata,"$399,900",Single Family,,
2,2 + 1,Apartment,43.7102719,-79.7262287,Condominium/Strata,"$399,900",Single Family,,
2,2,Apartment,43.7323456,-79.5369412,Condominium/Strata,"$399,900",Single Family,,
1,2,Apartment,43.7097633,-79.7358402,Condominium/Strata,"$399,900",Single Family,,
2,3,Apartment,43.7024619,-79.5246821,Condominium/Strata,"$399,900",Single Family,,
2,3,Apartment,43.6960376,-79.5541097,Condominium/Strata,"$399,900",Single Family,,
2,3,Apartment,43.6950038,-79.5548335,Condominium/Strata,"$399,900",Single Family,,
1,1,Apartment,43.6935528,-79.4229594,Shares in Co-operative,"$399,900",Single Family,,
1,1,Apartment,43.6852857,-79.7614922,Condominium/Strata,"$399,900",Single Family,,
1,0,Apartment,43.6675741,-79.3047864,Condominium/Strata,"$399,900",Single Family,,
2,2,Apartment,43.6546449,-79.7277081,Condominium/Strata,"$399,900",Single Family,,
2,2,Apartment,43.7317441,-79.5772925,Condominium/Strata,"$399,999",Single Family,,
2,3 + 1,House,43.8919547,-78.8386404,Freehold,"$400,000",Single Family,,1
1,2,Apartment,43.6968278,-79.2934124,Condominium/Strata,"$404,900",Single Family,,
1,0,Apartment,43.6460089,-79.3919615,Condominium/Strata,"$405,000",Single Family,,
2,3,Apartment,43.74894,-79.568001,Condominium/Strata,"$407,000",Single Family,,
1,1,Apartment,43.8417199,-79.3957901,Condominium/Strata,"$409,000",Single Family,,
1,2 + 1,Apartment,43.6968278,-79.2934124,Condominium/Strata,"$409,000",Single Family,,
2,2,Apartment,43.6970689,-79.489911,Condominium/Strata,"$409,000",Single Family,,
2,2,Apartment,43.697053,-79.489799,Condominium,"$409,000",Single Family,,1
2,3,Apartment,43.7220286,-79.5437092,Condominium/Strata,"$409,000",Single Family,,
2,3 + 1,House,43.8928036,-78.8571305,Freehold,"$409,888",Single Family,,2
1,2,Apartment,43.7699461,-79.3454556,Condominium/Strata,"$409,900",Single Family,,
1,2,Apartment,43.5767515,-79.7390849,Condominium/Strata,"$409,900",Single Family,,
2,3 + 1,Row / Townhouse,43.6892736,-79.7464663,Condominium/Strata,"$410,000",Single Family,,2
1,2,Apartment,43.7816784,-79.2449316,Condominium/Strata,"$410,000",Single Family,,
2,3,Apartment,43.7763701,-79.3203956,Condominium/Strata,"$410,000",Single Family,,
1,1,Apartment,43.8424442,-79.4238827,Condominium/Strata,"$410,000",Single Family,,
1,2,Apartment,43.6964446,-79.2941767,Condominium/Strata,"$412,900",Single Family,,
1,1,Apartment,43.53565,-79.858557,Condominium,"$414,500",Single Family,697 sqft,1
1,1,Apartment,43.5360758,-79.8576561,Condominium/Strata,"$414,500",Single Family,,
1,1,Apartment,43.724568,-79.6160904,Condominium/Strata,"$414,900",Single Family,,
2,2 + 1,Apartment,43.6606235,-79.7207184,Condominium/Strata,"$414,900",Single Family,,
2,2,Apartment,43.7859769,-79.197659,Condominium/Strata,"$414,900",Single Family,,
2,2,Apartment,43.7500359,-79.5673777,Condominium/Strata,"$414,900",Single Family,,
2,3 + 1,Apartment,43.7851587,-79.2856683,Condominium/Strata,"$415,000",Single Family,,
1,1,Apartment,43.8403478,-79.391561,Condominium/Strata,"$415,000",Single Family,,
1,1,Apartment,43.8599757,-79.5063439,Condominium/Strata,"$415,000",Single Family,,
1,1,Apartment,43.8597898,-78.9379728,Condominium/Strata,"$415,000",Single Family,,
1,2,Apartment,43.7202582,-79.7141771,Condominium/Strata,"$415,000",Single Family,,
2,2,Apartment,43.7220164,-79.6423563,Condominium/Strata,"$415,900",Single Family,,
2,2,Apartment,43.7220164,-79.6423563,Condominium/Strata,"$416,900",Single Family,,
1,0,Apartment,43.6256776,-79.4787686,Condominium/Strata,"$416,900",Single Family,,
2,3,Apartment,43.7230155,-79.5436818,Condominium/Strata,"$418,000",Single Family,,
2,3,Row / Townhouse,43.7242658,-79.7154719,Condominium/Strata,"$419,000",Single Family,,2
1,2,Apartment,43.6968278,-79.2934124,Condominium/Strata,"$419,000",Single Family,,
1,1,Apartment,43.5262014,-79.8474092,Condominium/Strata,"$419,000",Single Family,,
2,3,Apartment,43.8259487,-79.0908687,Condominium/Strata,"$419,000",Single Family,,
1,3,House,43.8918665,-78.8607951,Freehold,"$419,000",Single Family,,1
2,2 + 1,Apartment,43.7495489,-79.5807504,Condominium/Strata,"$419,000",Single Family,,
2,3,Apartment,43.7422306623265,-79.2232974935807,Condominium/Strata,"$419,000",Single Family,,
2,3 + 1,Row / Townhouse,43.7349892,-79.5912318,Condominium/Strata,"$419,900",Single Family,,2
3,5,House,43.888591,-78.8615093,Freehold,"$419,900",Single Family,,1.5000
2,3,Row / Townhouse,43.8792907,-78.8751639,Freehold,"$419,900",Single Family,,2
2,2,Apartment,43.9014499,-78.9392044,Condominium/Strata,"$419,900",Single Family,,
2,3,House,43.8625952,-78.8585349,Freehold,"$419,900",Single Family,,2
1,1,Apartment,43.8599757,-79.5063439,Condominium/Strata,"$420,000",Single Family,,
1,2,House,43.8537701,-79.0268281,Freehold,"$420,000",Single Family,,1
1,1 + 1,Apartment,43.8248259,-79.274493,Condominium/Strata,"$420,000",Single Family,,
1,2,House,43.85563,-79.022252,Freehold,"$423,000",Single Family,,1
1,2,Apartment,43.6964446,-79.2941767,Condominium/Strata,"$423,900",Single Family,,
1,0,Apartment,43.6573757,-79.3740982,Condominium/Strata,"$424,900",Single Family,,
1,1,Apartment,43.5811954,-79.7156028,Condominium/Strata,"$424,900",Single Family,,
2,2 + 1,Apartment,43.7582614,-79.5884807,Condominium/Strata,"$424,900",Single Family,,
2,2 + 1,Apartment,43.8008124,-79.3050392,Condominium/Strata,"$424,900",Single Family,,
2,2 + 1,House,43.8932372,-78.810038,Freehold,"$425,000",Single Family,,1
2,2 + 1,House,43.8838989,-78.8666397,Freehold,"$425,000",Single Family,,1
1,3,Apartment,43.5385929,-79.6873712,Condominium/Strata,"$425,000",Single Family,,
3,2,Apartment,43.615506,-79.659201,Condominium/Strata,"$425,000",Single Family,,
1,1,Apartment,43.6900692,-79.4642261,Condominium/Strata,"$425,000",Single Family,,
2,2 + 1,Apartment,43.7220164,-79.6423563,Condominium/Strata,"$425,000",Single Family,,
1,1,Apartment,43.8496977,-79.4315173,Condominium/Strata,"$428,000",Single Family,,
1,2,Apartment,43.8226442,-79.0131881,Condominium/Strata,"$429,000",Single Family,,
1,1 + 1,Apartment,43.8008124,-79.3050392,Condominium/Strata,"$429,000",Single Family,,
2,2 + 1,Apartment,43.7860372,-79.1977206,Condominium/Strata,"$429,000",Single Family,,
2,2,Apartment,43.7437506,-79.2131718,Condominium/Strata,"$429,000",Single Family,,
1,1 + 1,Apartment,43.7524335,-79.3329546,Condominium/Strata,"$429,000",Single Family,,
2,2,Apartment,43.6863146,-79.5141914,Condominium/Strata,"$429,000",Single Family,,
1,1,Apartment,43.6255451,-79.4787462,Condominium/Strata,"$429,000",Single Family,,
1,1 + 1,Apartment,43.5800932,-79.6251639,Condominium/Strata,"$429,000",Single Family,,
1,1,Apartment,43.586471,-79.6479597,Condominium/Strata,"$429,000",Single Family,,
1,1,Apartment,43.6851969,-79.4066679,Undivided Co-ownership,"$429,500",Single Family,,
2,3,Row / Townhouse,43.7242658,-79.7154719,Condominium/Strata,"$429,900",Single Family,,3
1,2,Apartment,43.7107467264043,-79.3336544360566,Condominium/Strata,"$429,900",Single Family,,
1,2,Apartment,43.6964446,-79.2941767,Condominium/Strata,"$429,900",Single Family,,
1,1,Apartment,43.698102,-79.2994276,Condominium/Strata,"$429,900",Single Family,,
2,3,Apartment,43.5844465,-79.6175302,Condominium/Strata,"$429,900",Single Family,,
1,1,Apartment,43.6345965,-79.5410676,Condominium/Strata,"$429,900",Single Family,,
1,1 + 1,Apartment,43.6470458,-79.8754131,Condominium/Strata,"$429,900",Single Family,,
1,1,Apartment,43.6524873,-79.3896218,Condominium/Strata,"$429,900",Single Family,,
1,1 + 1,Apartment,43.7443576,-79.7767402,Condominium/Strata,"$429,900",Single Family,,
